OBJECTID,NAME,FCLASS2014,TOTALANES,length_feet,max_grade_pct,avg_grade_pct,elevation_change_ft,score_emergency,score_graduation_route,score_graduation_parking,score_road_class,score_steepness
426,BRANDON PL,Local Road,2,511.6548282147393,5.07,1.05,5.4,0.0,1.0,1.0,0.25,0.4
427,DUNMORE PL,Local Road,1,222.4523685257755,11.07,7.78,17.3,0.0,0.6,1.0,0.25,0.6
428,CORNELL WALK,Local Road,2,803.0269355358975,14.2,9.22,74.1,0.0,0.6,1.0,0.25,0.6
429,VALLEY RD,Local Road,2,318.90427791909815,13.88,6.91,22.0,0.0,0.6,1.0,0.25,0.6
430,HOMESTEAD RD,Local Road,2,714.3837461552725,14.16,8.26,59.0,0.0,0.6,1.0,0.25,0.6
431,HOMESTEAD TER,Local Road,2,686.2050421922988,13.81,4.77,32.7,0.0,0.6,1.0,0.25,0.6
432,EASTWOOD TER,Local Road,2,329.8901452021703,12.47,7.34,24.2,0.0,0.6,1.0,0.25,0.6
433,EASTWOOD AVE,Local Road,2,531.3977080021677,11.4,6.59,35.0,0.0,0.6,1.0,0.25,0.6
434,WOODCREST TER,Local Road,2,330.87846780955175,14.7,5.68,18.8,0.0,0.6,1.0,0.25,0.6
435,WOODCREST AVE,Local Road,2,1086.5356241260004,10.65,6.15,66.8,0.0,0.6,1.0,0.25,0.6
436,WOODCREST AVE,Local Road,2,403.7442787476115,16.04,10.54,42.6,0.0,0.6,1.0,0.25,0.8
437,WATER ST,Local Road,2,626.9148152904021,20.48,13.0,81.5,0.0,0.6,1.0,0.25,1.0
438,WATER ST,Local Road,2,268.14385668823417,17.75,12.14,32.6,0.0,0.6,1.0,0.25,0.8
439,TREVA AVE,Local Road,2,368.0541375607143,7.74,2.36,8.7,0.0,0.6,1.0,0.25,0.4
440,VALENTINE PL,Local Road,2,266.7729516462646,18.31,9.31,24.8,0.0,0.6,1.0,0.25,0.8
441,GILES ST,Collector,2,1854.8780905332908,7.95,1.4,26.0,0.0,0.6,1.0,0.5,0.4
442,COLUMBIA ST,Collector,2,747.4386642693934,17.91,10.26,76.7,0.0,0.6,1.0,0.5,0.8
443,FERRIS PL,Local Road,2,565.6856825938838,15.39,5.02,28.4,0.0,0.6,1.0,0.25,0.8
444,S QUARRY ST,Local Road,2,415.84090667877246,12.31,5.97,24.8,0.0,0.6,1.0,0.25,0.6
445,CRESCENT PL,Local Road,2,885.4700633215521,7.57,3.41,30.2,0.0,0.6,0.0,0.25,0.4
446,HAWTHORNE PL,Local Road,2,821.3202116095235,10.78,6.67,54.8,0.0,0.6,0.0,0.25,0.6
447,PEARSALL PL,Local Road,2,717.0012335135191,10.71,4.55,32.6,0.0,0.6,0.0,0.25,0.6
448,FOREST PARK LA,NA,2,391.83746865986086,5.9,1.32,5.2,0.0,1.0,1.0,0.25,0.4
449,LINN ST,Local Road,2,637.6443804224281,4.47,2.82,18.0,0.0,0.6,1.0,0.25,0.2
450,WORTH ST,Local Road,2,370.1045130365526,11.63,6.25,23.1,0.0,1.0,1.0,0.25,0.6
451,FIFTH ST,Local Road,2,457.45157592438,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.2
452,VINEGAR HILL,Local Road,2,427.85612959751745,19.51,14.21,60.8,0.0,0.6,0.0,0.25,0.8
453,N ALBANY ST,Collector,2,331.5026816176835,1.18,0.5,1.7,0.0,0.6,0.0,0.5,0.2
454,MADISON ST,Local Road,2,80.88721479376223,4.9,1.89,1.5,0.0,0.6,0.0,0.25,0.2
455,W YATES ST,Local Road,2,122.24325988826479,3.65,1.09,1.3,0.0,0.6,0.0,0.25,0.2
456,AUBURN ST,Local Road,2,428.7927607923802,1.03,0.47,2.0,0.0,0.6,0.0,0.25,0.2
457,AUBURN ST,Local Road,2,415.9389217980546,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.2
458,W LEWIS ST,Local Road,2,336.23600699083886,0.36,0.1,0.3,0.0,0.6,0.0,0.25,0.2
459,UTICA ST,Local Road,2,485.78085061075274,0.37,0.08,0.4,0.0,0.6,0.0,0.25,0.2
460,E FALLS ST,Local Road,2,529.5064289242641,6.31,2.27,12.0,0.0,0.6,1.0,0.25,0.4
461,AUBURN ST,Local Road,2,418.5883866666415,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.2
462,AUBURN ST,Local Road,2,445.48809690054594,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.2
463,UTICA ST,Local Road,2,415.58375962245,0.19,0.13,0.5,0.0,0.6,0.0,0.25,0.2
464,UTICA ST,Local Road,2,418.6721922943512,0.53,0.31,1.3,0.0,0.6,0.0,0.25,0.2
465,UTICA ST,Local Road,2,418.49010316872443,1.2,0.48,2.0,0.0,0.6,0.0,0.25,0.2
466,UTICA ST,Local Road,2,416.5384431441087,1.5,0.66,2.7,0.0,0.6,0.0,0.25,0.2
467,UTICA ST,Local Road,2,415.7088003273318,1.5,0.81,3.4,0.0,0.6,0.0,0.25,0.2
468,DEY ST,Collector,2,389.6823029121122,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.2
469,DEY ST,Collector,2,390.5004212331171,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.2
470,SEARS ST,Local Road,2,561.193779929629,1.44,0.71,4.0,0.0,0.6,0.0,0.25,0.2
471,E GREEN TO E SENECA CONNECTOR,Minor Arterial,1,263.247130611911,6.23,0.45,1.2,0.0,0.6,1.0,0.7,0.4
472,SENECA WAY,Minor Arterial,2,665.4066894109429,6.04,1.7,11.3,0.0,0.6,1.0,0.7,0.4
473,ELMIRA CIR,Minor Arterial,1,283.9743278777041,4.34,0.0,0.0,0.0,0.6,0.0,0.7,0.2
474,S ALBANY ST,Minor Arterial,2,376.64816634668097,2.73,0.73,2.7,0.0,0.6,0.0,0.7,0.2
