partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
1,4,random_walk,580,110.1060765305613,6,443347.69414485607,615.7606863123001,509930.64000000025,66582.94585514416,1.0,225.46099999999993,271
2,4,random_walk,452,109.92700898411968,6,440581.99648364296,611.9194395606153,499450.32000000036,58868.323516357406,1.0,280.4779999999997,218
0,4,random_walk,52,112.18095286719556,6,434389.4192141006,603.3186377973619,498160.8000000004,63771.380785899826,1.0,233.896,241
1,5,chinese_postman,439,50.43855228829973,14,432537.8927028098,600.7470731983469,464261.75999999966,31723.867297189852,1.0,108.54099999999994,190
2,5,chinese_postman,439,50.43855228829973,14,432537.8927028098,600.7470731983469,464261.75999999966,31723.867297189852,1.0,108.54099999999994,190
2,5,chinese_postman,559,50.43855228829973,14,432535.7898403162,600.7441525559948,464261.75999999966,31725.97015968341,1.0,108.54099999999993,190
1,5,chinese_postman,447,50.43855228829972,14,432531.4391939682,600.7381099916225,464261.75999999966,31730.320806031465,1.0,108.54099999999993,190
0,5,chinese_postman,78,50.43855228829974,14,432523.58758820186,600.7272049836137,464261.75999999983,31738.172411797954,1.0,108.54099999999997,190
0,5,chinese_postman,78,50.43855228829974,14,432523.58758820186,600.7272049836137,464261.75999999983,31738.172411797954,1.0,108.54099999999997,190
1,5,chinese_postman,75,50.43855228829974,14,432523.31733871833,600.7268296371088,464261.75999999983,31738.442661281493,1.0,108.54099999999997,190
0,5,chinese_postman,94,50.4385522882997,14,432519.10166302905,600.7209745319848,464261.76,31742.658336970955,1.0,108.541,190
0,5,chinese_postman,94,50.4385522882997,14,432519.10166302905,600.7209745319848,464261.76,31742.658336970955,1.0,108.541,190
1,5,chinese_postman,94,50.4385522882997,14,432519.10166302905,600.7209745319848,464261.76,31742.658336970955,1.0,108.541,190
2,5,chinese_postman,94,50.4385522882997,14,432519.10166302905,600.7209745319848,464261.76,31742.658336970955,1.0,108.541,190
0,5,chinese_postman,693,50.4385522882997,14,432518.89091348666,600.720681824287,464261.76,31742.869086513336,1.0,108.541,190
2,5,chinese_postman,93,50.4385522882997,14,432517.7024029486,600.7190311152063,464261.75999999983,31744.057597051233,1.0,108.54099999999997,190
1,5,chinese_postman,377,50.438552288299725,14,432515.1120374612,600.7154333853628,464261.75999999983,31746.647962538624,1.0,108.54099999999998,190
2,5,chinese_postman,87,50.438552288299746,14,432513.85548495,600.7136881735416,464261.75999999983,31747.904515049828,1.0,108.54099999999998,190
2,5,chinese_postman,382,50.43855228829972,14,432513.7444335674,600.7135339355102,464261.75999999983,31748.01556643246,1.0,108.54099999999997,190
0,5,chinese_postman,45,50.438552288299725,14,432509.03021318826,600.7069864072059,464261.75999999983,31752.729786811582,1.0,108.54099999999997,190
2,5,chinese_postman,45,50.438552288299725,14,432509.03021318826,600.7069864072059,464261.75999999983,31752.729786811582,1.0,108.54099999999997,190
2,5,chinese_postman,46,50.438552288299725,14,432508.9706718108,600.7069037108483,464261.75999999983,31752.78932818907,1.0,108.54099999999997,190
2,5,chinese_postman,46,50.438552288299725,14,432508.9706718108,600.7069037108483,464261.75999999983,31752.78932818907,1.0,108.54099999999997,190
2,5,chinese_postman,591,50.43855228829972,14,432508.1403674724,600.7057505103784,464261.7599999997,31753.6196325273,1.0,108.54099999999994,190
0,5,chinese_postman,79,50.43855228829971,14,432507.9899581376,600.7055416085245,464261.75999999966,31753.770041862022,1.0,108.54099999999993,190
0,5,chinese_postman,385,50.43855228829971,14,432496.26733025716,600.6892601809127,464261.76,31765.49266974285,1.0,108.541,190
